step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
111,100.07328273378624,99.99869425477945,100.20869425477946,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,buy
112,100.05371332904375,99.96828273378624,100.17828273378625,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
113,100.07197617321047,99.94871332904374,100.15871332904375,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
114,100.08110717508139,99.96697617321047,100.17697617321048,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
115,100.09352388364256,99.97610717508138,100.18610717508139,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
116,100.03162673533842,99.98852388364256,100.19852388364257,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
117,100.04935392502222,99.92662673533842,100.13662673533842,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,buy
118,100.07475144459752,99.94435392502221,100.15435392502222,0,1.4153987433696074,1.4153987433696074,1.4153987433696074,14,0.08968489721291549,
119,100.09916435529651,99.96975144459752,100.17975144459753,1,-98.55635270122791,1.5428116540686005,1.5423116540686006,15,0.08968489721291549,sell
120,100.07326399735433,99.9791643552965,100.18916435529651,2,-198.5375170565244,1.6090109381842694,1.6070109381842694,16,0.11558525515509693,sell
121,100.10325872476164,99.93826399735433,100.14826399735433,2,-198.5375170565244,1.6690003929988961,1.6670003929988961,16,0.11558525515509693,
122,100.09950845385205,99.96825872476164,100.17825872476165,2,-198.5375170565244,1.6614998511797126,1.6594998511797125,16,0.11558525515509693,
123,100.07720080698768,99.96450845385205,100.17450845385206,2,-198.5375170565244,1.616884557450959,1.614884557450959,16,0.11558525515509693,
124,100.08326999274261,99.94220080698767,100.15220080698768,2,-198.5375170565244,1.6290229289608362,1.6270229289608362,16,0.11558525515509693,
125,100.08361277440943,99.94826999274261,100.15826999274262,2,-198.5375170565244,1.6297084922944691,1.6277084922944691,16,0.11558525515509693,
126,100.10931659388643,99.94861277440943,100.15861277440943,2,-198.5375170565244,1.6811161312484728,1.6791161312484728,16,0.11558525515509693,
127,100.12594008892616,99.97431659388643,100.18431659388644,2,-198.5375170565244,1.7143631213279207,1.7123631213279207,16,0.11558525515509693,
128,100.11978523826018,99.99094008892615,100.20094008892616,3,-298.53045714545055,1.828898569329965,1.8243985693299651,17,0.12174010582107826,sell
129,100.159071758806,99.96978523826017,100.17978523826018,3,-298.53045714545055,1.946758130967396,1.942258130967396,17,0.12174010582107826,
130,100.1215223423828,100.00907175880599,100.219071758806,3,-298.53045714545055,1.8341098816978274,1.8296098816978275,17,0.12174010582107826,
131,100.09769825368204,99.9715223423828,100.1815223423828,4,-398.50397948783336,1.886813526894798,1.878813526894798,18,0.14556419452184097,sell
132,100.02839515058307,99.93269825368203,100.14269825368204,4,-398.50397948783336,1.6096011144989006,1.6016011144989006,18,0.14556419452184097,
133,100.01424186957392,99.86339515058306,100.07339515058307,4,-398.50397948783336,1.5529879904623272,1.5449879904623272,18,0.14556419452184097,
134,100.03530047836055,99.84924186957392,100.05924186957392,4,-398.50397948783336,1.6372224256088543,1.6292224256088543,18,0.14556419452184097,
135,100.01542922958791,99.87030047836055,100.08030047836056,4,-398.50397948783336,1.557737430518273,1.549737430518273,18,0.14556419452184097,
136,100.03823322214919,99.8504292295879,100.06042922958791,4,-398.50397948783336,1.6489534007633893,1.6409534007633892,18,0.14556419452184097,
137,100.05413516331723,99.87323322214918,100.08323322214919,4,-398.50397948783336,1.7125611654355453,1.7045611654355453,18,0.14556419452184097,buy
138,100.07875101757975,99.88913516331722,100.09913516331723,4,-398.50397948783336,1.8110245824856293,1.8030245824856292,18,0.14556419452184097,
139,100.09438603525172,99.91375101757974,100.12375101757975,3,-298.3822284702536,1.9009296355015408,1.8964296355015409,19,0.16119921219380434,buy
140,100.0345942241201,99.94438603525171,100.15438603525172,3,-298.3822284702536,1.721554202106688,1.7170542021066881,19,0.16119921219380434,
141,99.99012866219681,99.8845942241201,100.0945942241201,3,-298.3822284702536,1.5881575163368211,1.5836575163368212,19,0.16119921219380434,
142,99.96978072899215,99.8401286621968,100.05012866219681,3,-298.3822284702536,1.5271137167228517,1.5226137167228517,19,0.16119921219380434,
143,99.96123420700067,99.81978072899214,100.02978072899215,3,-298.3822284702536,1.501474150748436,1.496974150748436,19,0.16119921219380434,
144,99.99391073190199,99.81123420700067,100.02123420700067,3,-298.3822284702536,1.5995037254523368,1.5950037254523368,19,0.16119921219380434,
145,99.99183659386021,99.84391073190199,100.053910731902,3,-298.3822284702536,1.5932813113270186,1.5887813113270186,19,0.16119921219380434,sell
146,99.9667146471454,99.84183659386021,100.05183659386022,2,-198.3323918763934,1.6010374178974018,1.5990374178974018,20,0.16119921219380434,buy
147,99.99082219772676,99.83171464714539,100.0417146471454,2,-198.3323918763934,1.649252519060127,1.647252519060127,20,0.16119921219380434,
148,99.94935675226544,99.85582219772675,100.06582219772676,2,-198.3323918763934,1.5663216281375014,1.5643216281375014,20,0.16119921219380434,buy
149,99.89442957749002,99.81435675226544,100.02435675226545,3,-298.14874862865884,1.5345401038111959,1.530040103811196,21,0.21612638696923026,sell
150,99.86233700515132,99.74442957749001,99.95442957749002,3,-298.14874862865884,1.4382623867951452,1.4337623867951452,21,0.21612638696923026,
151,99.87517371837217,99.71233700515131,99.92233700515132,3,-298.14874862865884,1.4767725264576939,1.472272526457694,21,0.21612638696923026,
152,99.88503357844064,99.72517371837216,99.93517371837217,3,-298.14874862865884,1.506352106663087,1.501852106663087,21,0.21612638696923026,buy
153,99.9170502509378,99.73503357844064,99.94503357844064,3,-298.14874862865884,1.6024021241545938,1.5979021241545939,21,0.21612638696923026,
154,99.95048802427513,99.7670502509378,99.97705025093781,3,-298.14874862865884,1.7027154441665289,1.698215444166529,21,0.21612638696923026,buy
155,100.01279744014674,99.80048802427513,100.01048802427513,2,-198.14026060438368,1.8853342759097984,1.8833342759097984,22,0.27843580284084285,buy
156,100.02278955132529,99.87779744014674,100.08779744014674,2,-198.14026060438368,1.9053184982668938,1.9033184982668938,22,0.27843580284084285,
157,100.03220679766902,99.88778955132528,100.09778955132529,2,-198.14026060438368,1.9241529909543544,1.9221529909543544,22,0.27843580284084285,
158,99.98451977286975,99.89720679766901,100.10720679766902,2,-198.14026060438368,1.8287789413558073,1.8267789413558073,22,0.27843580284084285,
159,99.95099824948005,99.84951977286974,100.05951977286975,1,-98.08274083151393,1.8682574179661202,1.8677574179661203,23,0.27843580284084285,buy
160,99.92213551598981,99.83099824948005,100.04099824948005,1,-98.08274083151393,1.8393946844758773,1.8388946844758773,23,0.27843580284084285,
161,99.9099231688993,99.8021355159898,100.01213551598981,1,-98.08274083151393,1.8271823373853664,1.8266823373853665,23,0.27843580284084285,
162,99.91548293838176,99.78992316889929,99.9999231688993,1,-98.08274083151393,1.8327421068678262,1.8322421068678263,23,0.27843580284084285,sell
163,99.91567311025263,99.79548293838175,100.00548293838176,1,-98.08274083151393,1.8329322787386957,1.8324322787386957,23,0.27843580284084285,sell
164,99.93309642311252,99.79567311025262,100.00567311025263,1,-98.08274083151393,1.8503555915985856,1.8498555915985857,23,0.27843580284084285,
165,99.9279841956776,99.81309642311251,100.02309642311252,1,-98.08274083151393,1.8452433641636645,1.8447433641636646,23,0.27843580284084285,
166,99.94089323644633,99.80798419567759,100.0179841956776,1,-98.08274083151393,1.8581524049323974,1.8576524049323975,23,0.27843580284084285,
167,99.96086079353573,99.82089323644632,100.03089323644633,1,-98.08274083151393,1.878119962021799,1.877619962021799,23,0.27843580284084285,
168,99.97185673575285,99.84086079353573,100.05086079353573,0,1.966119962021807,1.966119962021807,1.966119962021807,24,0.28943174505795977,buy
169,99.91691455322639,99.86685673575285,100.07685673575286,0,1.966119962021807,1.966119962021807,1.966119962021807,24,0.28943174505795977,sell
170,99.94377010268555,99.81191455322639,100.0219145532264,0,1.966119962021807,1.966119962021807,1.966119962021807,24,0.28943174505795977,
171,99.89869499900432,99.83877010268554,100.04877010268555,0,1.966119962021807,1.966119962021807,1.966119962021807,24,0.28943174505795977,sell
172,99.88190783042283,99.79369499900432,100.00369499900432,0,1.966119962021807,1.966119962021807,1.966119962021807,24,0.28943174505795977,
173,99.835079079833,99.77690783042283,99.98690783042284,-1,101.95102779244465,2.1159487126116545,2.1154487126116543,25,0.28943174505795977,buy
174,99.84541843662008,99.74507907983299,99.955079079833,-1,101.95102779244465,2.105609355824569,2.105109355824569,25,0.28943174505795977,buy
175,99.8942865450488,99.75541843662008,99.96541843662008,-1,101.95102779244465,2.0567412473958484,2.0562412473958482,25,0.28943174505795977,
176,99.86765567537736,99.8042865450488,100.0142865450488,-1,101.95102779244465,2.0833721170672845,2.0828721170672844,25,0.28943174505795977,
177,99.86191535577652,99.77765567537736,99.98765567537737,-1,101.95102779244465,2.089112436668131,2.088612436668131,25,0.28943174505795977,
178,99.84863928441975,99.77191535577651,99.98191535577652,-1,101.95102779244465,2.1023885080249016,2.1018885080249015,25,0.28943174505795977,buy
179,99.83778617009642,99.75863928441974,99.96863928441975,-2,201.9176670768644,2.242094736671561,2.240094736671561,26,0.28943174505795977,buy
180,99.85691029717596,99.76278617009642,99.97278617009643,-2,201.9176670768644,2.203846482512489,2.2018464825124893,26,0.28943174505795977,
